序号,项目名称,项目全名,项目链接,仓库描述,主页网址,项目语言,星标数,Fork数,Watch数,Open_Issues,默认分支,创建时间,更新时间,推送时间,仓库大小_KB,是否为Fork,是否私有,Topics,License,Owner,Owner类型
18,bookmarksnav-,ABC1319/bookmarksnav-,https://github.com/ABC1319/bookmarksnav-,,https://abc1319.github.io/bookmarksnav-/,TypeScript,0,0,0,0,main,2026-08-02T11:26:04Z,2026-08-02T11:43:01Z,2026-08-02T11:38:44Z,131,False,False,,,ABC1319,User
19,KiraKira-Blog,ABC1319/KiraKira-Blog,https://github.com/ABC1319/KiraKira-Blog,个人博客，https://kirakira-blog.pages.dev,,TypeScript,0,0,0,0,main,2026-07-09T02:51:56Z,2026-08-02T08:02:38Z,2026-08-02T08:03:04Z,9345,False,True,,,ABC1319,User
20,ai-website-cloner,ABC1319/ai-website-cloner,https://github.com/ABC1319/ai-website-cloner,AI website cloner for rebuilding live websites with AI coding agents,,,1,0,1,0,master,2026-08-02T03:49:07Z,2026-08-02T07:17:42Z,2026-07-06T09:10:09Z,1040,True,False,,MIT,ABC1319,User
21,ai-website-cloner-template,ABC1319/ai-website-cloner-template,https://github.com/ABC1319/ai-website-cloner-template,Clone any website with one command using AI coding agents,https://dsc.gg/jcodesmore,TypeScript,0,0,0,0,master,2026-07-05T01:47:31Z,2026-08-02T03:43:47Z,2026-08-02T03:43:26Z,1070,True,False,,MIT,ABC1319,User
22,drug,ABC1319/drug,https://github.com/ABC1319/drug,导航,,PHP,0,0,0,0,main,2026-08-01T03:34:33Z,2026-08-01T15:48:17Z,2026-08-01T15:48:10Z,7591,False,True,,,ABC1319,User
23,ebook,ABC1319/ebook,https://github.com/ABC1319/ebook,ebook导航,,HTML,1,0,1,0,main,2026-08-01T15:40:10Z,2026-08-01T15:45:15Z,2026-08-01T15:44:57Z,83,False,True,,,ABC1319,User
24,soia-open-media-content-skills,ABC1319/soia-open-media-content-skills,https://github.com/ABC1319/soia-open-media-content-skills,新媒体内容技能：文章成文、封面图与公众号、X、小红书发布,,,0,0,0,0,main,2026-08-01T11:45:15Z,2026-08-01T11:45:15Z,2026-08-01T09:32:32Z,1106,True,False,,MIT,ABC1319,User
25,CJDB-Collectors,ABC1319/CJDB-Collectors,https://github.com/ABC1319/CJDB-Collectors,抄级对标。对标管理和数据采集工具，能采集并管理抖音、小红书、公众号、视频号等对标账号。,,,0,0,0,0,master,2026-08-01T11:43:35Z,2026-08-01T11:43:35Z,2026-08-01T10:07:45Z,325,True,False,,,ABC1319,User
26,Article-Agent,ABC1319/Article-Agent,https://github.com/ABC1319/Article-Agent,这是一个基于 Kimi API (Moonshot) 的公众号文章智能生成工具，支持自动配图、交互式内容优化以及一键同步至微信公众号草稿箱。,,,1,0,1,0,main,2026-08-01T11:42:13Z,2026-08-01T11:42:25Z,2026-08-01T11:24:37Z,80383,True,False,,,ABC1319,User
27,ai_viral-_content_-generator,ABC1319/ai_viral-_content_-generator,https://github.com/ABC1319/ai_viral-_content_-generator,AI 爆文智能创作平台是一个面向小红书、知乎、公众号、抖音等平台的自媒体创作者，通过「多智能体协作 + 多模态生成」全自动完成选题、爆文逻辑分析、文案写作、润色、SEO优化、AI配图、排版、导出的完整创作流程。  解决创作者：**选题难、爆文逻辑不会、写作慢、配图烦、排版累、内容不涨粉** 的真实行业痛点。,,,0,0,0,0,master,2026-08-01T11:40:32Z,2026-08-01T11:40:32Z,2026-08-01T10:47:31Z,813,True,False,,,ABC1319,User
28,MultiPost-Extension,ABC1319/MultiPost-Extension,https://github.com/ABC1319/MultiPost-Extension,A browser extension that helps users publish content to multiple social media platforms with one click.,https://multipost.app,,0,0,0,0,main,2026-08-01T11:40:04Z,2026-08-01T11:40:04Z,2026-08-01T07:16:27Z,2953,True,False,,Apache-2.0,ABC1319,User
29,aimangastudio,ABC1319/aimangastudio,https://github.com/ABC1319/aimangastudio,一个利用 AI 制作漫画的工具，支持脚本创作、分镜设计和角色风格控制。访问地址：https://aimangastudio.liduos.com/,https://liduos.com,,1,0,1,0,main,2026-08-01T11:37:14Z,2026-08-01T11:38:23Z,2025-09-16T03:19:04Z,2297,True,False,,,ABC1319,User
30,brotv,ABC1319/brotv,https://github.com/ABC1319/brotv,,,,0,0,0,0,main,2026-07-31T23:21:20Z,2026-07-31T23:21:20Z,2026-07-19T14:47:41Z,114224,True,False,,,ABC1319,User
31,WechatMomentScreenshot,ABC1319/WechatMomentScreenshot,https://github.com/ABC1319/WechatMomentScreenshot,朋友圈转发截图生成工具（⚠️Fork 不是收藏，请勿在贡献代码以外的情况下 Fork！）,https://abc1319.github.io/WechatMomentScreenshot/,,1,0,1,0,master,2024-02-08T10:30:33Z,2026-07-31T14:28:22Z,2024-02-06T19:14:14Z,452,True,False,,AGPL-3.0,ABC1319,User
32,MediaCrawler,ABC1319/MediaCrawler,https://github.com/ABC1319/MediaCrawler,小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫  | 知乎问答文章｜评论爬虫,https://nanmicoder.github.io/MediaCrawler/,Python,0,0,0,0,main,2026-04-24T13:59:17Z,2026-07-31T14:19:15Z,2026-07-31T14:16:31Z,29648,True,False,,NOASSERTION,ABC1319,User
33,spider-flow,ABC1319/spider-flow,https://github.com/ABC1319/spider-flow,新一代爬虫平台，以图形化方式定义爬虫流程，不写代码即可完成爬虫。,https://www.spiderflow.org,,0,0,0,0,master,2026-07-31T14:16:13Z,2026-07-31T14:16:13Z,2023-06-14T22:27:23Z,3382,True,False,,MIT,ABC1319,User
34,Remove-watermark,ABC1319/Remove-watermark,https://github.com/ABC1319/Remove-watermark,支持抖音，快手，小红书，哔哩哔哩等 100+ 平台的图片视频水印去除，这些内容展示均已实现微信小程序流量主广告变现功能以及卡密充值功能，可根据自己是否需要进行后台配置。,,,1,0,1,0,master,2026-07-31T08:10:49Z,2026-07-31T08:10:56Z,2026-06-25T09:40:25Z,951,True,False,,,ABC1319,User
35,media-parser-mp,ABC1319/media-parser-mp,https://github.com/ABC1319/media-parser-mp,parse-ucmao-mp是一个功能强大的微信小程序前端代码，专为实现短视频去水印服务而设计。它支持抖音、快手、小红书等多个主流平台，能够快速解析分享链接。本项目采用微信原生开发，并集成Vigenère加密机制保障请求安全，需要配合独立的后端API服务运行，是构建高性能去水印小程序的理想前端框架。,,,0,0,0,0,starter,2026-07-31T07:58:23Z,2026-07-31T07:58:23Z,2026-05-27T04:35:51Z,718,True,False,,MIT,ABC1319,User
36,qsy-miniapp,ABC1319/qsy-miniapp,https://github.com/ABC1319/qsy-miniapp,微信小程序 去水印工具 v1.6.5 - 短视频去水印解析下载源码,,,1,0,1,0,main,2026-07-31T07:57:59Z,2026-07-31T07:58:05Z,2026-06-11T14:27:35Z,71,True,False,,,ABC1319,User
37,awesome-github-wechat-weapp,ABC1319/awesome-github-wechat-weapp,https://github.com/ABC1319/awesome-github-wechat-weapp,微信小程序开源项目库汇总,http://www.opendigg.com/tags/wechat-app,,1,0,1,0,master,2026-07-31T07:49:24Z,2026-07-31T07:49:35Z,2020-08-16T11:36:42Z,23,True,False,,,ABC1319,User
38,winxin-app-watch-life.net,ABC1319/winxin-app-watch-life.net,https://github.com/ABC1319/winxin-app-watch-life.net,微慕小程序开源版-WordPress版微信小程序,https://www.watch-life.net,,0,0,0,0,master,2026-07-31T07:48:51Z,2026-07-31T07:48:51Z,2025-11-23T12:14:55Z,2252,True,False,,Apache-2.0,ABC1319,User
